train/learning_rate,time/fps,train/is_line_search_success,train/n_updates,time/time_elapsed,rollout/ep_len_mean,train/policy_objective,rollout/ep_rew_mean,train/value_loss,train/explained_variance,time/total_timesteps,train/std,train/kl_divergence_loss
0.001,2762,1.0,76,228,924.58,0.028728635981678963,-50674.15220877,971592.9140350341,0.0,630000,0.8052897453308105,0.008190193213522434
0.001,2754,1.0,78,232,955.35,0.03525929152965546,-46436.46712010001,850124.6361328125,0.0,640000,0.817520797252655,0.00875531230121851
0.001,2756,1.0,79,235,968.24,0.03367073833942413,-45273.811124399996,63567010.5234375,0.0,650000,0.8114097714424133,0.008646714501082897
0.001,2759,1.0,80,239,965.26,0.02704642340540886,-45204.12798577001,38665423.10185547,0.0,660000,0.8088844418525696,0.008764305151998997
0.001,2761,1.0,81,242,965.26,0.025340236723423004,-43685.266254010014,4458520.92956543,0.0,670000,0.8089235424995422,0.006775797810405493
0.001,2752,1.0,83,247,963.7,0.028169671073555946,-43185.97652807,22117876.743164062,0.0,680000,0.8104515075683594,0.00869261845946312
0.001,2755,1.0,84,250,959.06,0.0342709943652153,-44025.207599630005,12302912.705664063,0.0,690000,0.8146634101867676,0.00856021698564291
0.001,2758,1.0,85,253,962.52,0.03492332994937897,-39205.76822394,9290648.39230957,1.1920928955078125e-07,700000,0.8107851147651672,0.006274608429521322
0.001,2756,1.0,86,257,957.92,0.029666509479284286,-41072.494778860004,3381762.5295776366,0.0,710000,0.806330680847168,0.007617343217134476
0.001,2758,1.0,87,260,957.92,0.025182846933603287,-39460.18111969,25330191.906933594,0.0,720000,0.805741012096405,0.009265539236366749
0.001,2751,1.0,89,265,957.92,0.028611455112695694,-40214.24499801,4328607.290820313,0.0,730000,0.8047366738319397,0.006574613507837057
0.001,2754,1.0,90,268,961.91,0.031283147633075714,-35046.43879325,1445436.3224121095,-1.1920928955078125e-07,740000,0.8013777136802673,0.008063039742410183
0.001,2756,1.0,91,272,959.67,0.03325515240430832,-28865.95539616,21434480.27480469,0.0,750000,0.7986480593681335,0.006611769553273916
0.001,2758,1.0,92,275,965.58,0.028947312384843826,-28146.230084739997,9011213.954589844,-1.1920928955078125e-07,760000,0.803306519985199,0.008251662366092205
0.001,2760,1.0,93,278,960.73,0.035488635301589966,-31714.574333309996,53665532.25351562,0.0,770000,0.8020986914634705,0.007022213656455278
