train/policy_gradient_loss,time/fps,train/learning_rate,train/value_loss,train/loss,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/clip_fraction,train/entropy_loss,time/time_elapsed,train/explained_variance,train/n_updates,train/std,train/approx_kl,train/clip_range
-0.0007353597030487436,975,0.0003,2910176249.6,1409531904.0,-200920.15894022002,900000,63.3,0.0,-8.366635672003031,922,1.1920928955078125e-07,1090,0.9756109714508057,0.0011082294,0.2
-0.0005294875421895995,971,0.0003,2739942517.3,1500285696.0,-195070.019901,910000,65.28,0.0,-8.361068908125162,936,5.960464477539063e-08,1110,0.9748460650444031,0.0006293622,0.2
-0.0007985839801222028,972,0.0003,3013732228.0,1395022592.0,-208992.17642143005,920000,65.09,0.0,-8.357353727519513,945,0.0,1120,0.9741380214691162,0.0012992708,0.2
-0.0009931443722962286,973,0.0003,2895786697.6,1274146944.0,-165335.99546914,930000,51.63,4.8828125e-05,-8.352900979667902,954,0.0,1130,0.9734032154083252,0.001546606,0.2
-0.0016609804599283962,974,0.0003,2747270484.1,1373672704.0,-179078.84955828,940000,61.55,0.00169677734375,-8.351070790737868,964,0.0,1140,0.9735128283500671,0.0026172306,0.2
-0.001280099329960649,975,0.0003,2745391780.2,1405521152.0,-175571.31145386,950000,56.41,0.00064697265625,-8.350806926190852,973,0.0,1150,0.9733307957649231,0.002181847,0.2
-0.0024931869378633565,971,0.0003,2782954584.8,1212615936.0,-177894.07368332997,960000,58.32,0.00726318359375,-8.34443553686142,987,0.0,1170,0.9720668792724609,0.003944764,0.2
-0.0014545689186888922,972,0.0003,2656229813.7,1191518976.0,-182042.53905752004,970000,68.53,0.0001953125,-8.340215177834034,997,0.0,1180,0.9713990092277527,0.0018535195,0.2
-0.0020298706323956138,973,0.0003,2492224953.1,1105415296.0,-177944.75815140005,980000,65.67,0.0027099609375,-8.338024546205997,1006,0.0,1190,0.9713218808174133,0.003013103,0.2
-0.0008890576158592012,974,0.0003,2702682704.4,1431639680.0,-168490.15773001,990000,59.62,2.44140625e-05,-8.33691875487566,1015,0.0,1200,0.9710986614227295,0.0012094544,0.2
-0.0003614454004491563,970,0.0003,2667601544.2,1561340160.0,-180326.89902216996,1000000,62.35,0.0,-8.337247689068317,1029,-1.1920928955078125e-07,1220,0.9712533950805664,0.0005808577,0.2
