train/policy_gradient_loss,train/clip_range,train/clip_fraction,train/learning_rate,train/entropy_loss,train/value_loss,train/std,rollout/ep_len_mean,train/loss,time/total_timesteps,time/time_elapsed,train/approx_kl,time/fps,train/explained_variance,train/n_updates,rollout/ep_rew_mean
-0.0003997770948444668,0.2,0.0,0.0003,-17.014288218319415,35376558256.0,0.9989177584648132,47.06,18168954880.0,900000,1024,0.00011360389,878,0.0,1090,-682122.85662001
-0.00044056489859940485,0.2,0.0,0.0003,-17.01360880881548,34092898478.4,0.9988108277320862,42.07,17103476736.0,910000,1040,9.8807715e-05,874,1.1920928955078125e-07,1110,-606971.24397192
-0.0004563810256513534,0.2,0.0,0.0003,-17.013142524659635,33163314476.8,0.9988420605659485,39.02,15547121664.0,920000,1050,0.0001377511,875,0.0,1120,-577454.15743551
-0.00024403993020314375,0.2,0.0,0.0003,-17.01341270506382,35627837504.0,0.9988553524017334,43.33,16979849216.0,930000,1060,4.181452e-05,876,0.0,1130,-632028.2605867501
-0.0005111100577778416,0.2,0.0,0.0003,-17.01342722773552,33637298950.4,0.9988479018211365,41.46,16283547648.0,940000,1071,0.00015167028,877,5.960464477539063e-08,1140,-609903.21869171
-0.0004684743620600784,0.2,0.0,0.0003,-17.013502967357635,34286402364.8,0.9988661408424377,43.31,17600344064.0,950000,1081,0.00012884688,878,-1.1920928955078125e-07,1150,-626715.1765968701
-0.0005737858267821139,0.2,0.0,0.0003,-17.01448685526848,34204295243.2,0.999013364315033,42.56,17763033088.0,960000,1096,0.00014393497,875,1.1920928955078125e-07,1170,-615954.4690633401
-0.0003595140461925439,0.2,0.0,0.0003,-17.015507587790488,34368547204.8,0.9990322589874268,43.7,16849153024.0,970000,1107,7.991183e-05,875,-2.384185791015625e-07,1180,-632919.70259198
-0.00044572887290996734,0.2,0.0,0.0003,-17.015532115101813,37693952628.8,0.9990162253379822,45.63,19310102528.0,980000,1117,0.00010629488,876,0.0,1190,-663043.4630754299
-0.00021140346307220171,0.2,0.0,0.0003,-17.015603521466254,35484259985.6,0.9990487694740295,44.87,16909318144.0,990000,1128,3.3261495e-05,877,5.960464477539063e-08,1200,-641117.00761253
-0.0006570446746991365,0.2,0.0,0.0003,-17.015023824572562,35469677040.0,0.9989704489707947,39.9,17629550592.0,1000000,1143,0.00015644633,874,0.0,1220,-577922.47893852
