train/explained_variance,train/std,train/policy_objective,rollout/ep_len_mean,train/learning_rate,train/value_loss,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/is_line_search_success,time/total_timesteps,train/n_updates,train/kl_divergence_loss
0.0,0.8458060026168823,0.04031870886683464,570.43,0.0013,51514213.91796875,-23642.854225940002,3268,269,1.0,880000,107,0.009308306500315666
0.0,0.8396028280258179,0.05738435313105583,591.9,0.0013,74126512.61484376,-25521.880623629997,3273,271,1.0,890000,108,0.008863067254424095
0.0,0.8428457379341125,0.06573095172643661,658.5,0.0013,71635217.81875,-27474.605990010008,3279,274,1.0,900000,109,0.008863849565386772
-1.1920928955078125e-07,0.8441417813301086,0.04990611970424652,739.21,0.0013,32595884.911328126,-29865.02844914,3270,278,1.0,910000,111,0.008683640509843826
0.0,0.8394983410835266,0.052197884768247604,759.9,0.0013,42838987.934375,-21127.79858574,3271,281,1.0,920000,112,0.00917681585997343
0.0,0.8400084972381592,0.06002195551991463,780.94,0.0013,57522609.33125,-18407.273541839997,3272,284,1.0,930000,113,0.00957957748323679
1.1920928955078125e-07,0.840884804725647,0.1149669885635376,779.54,0.0013,60780361.41953125,-17422.76335665,3272,287,1.0,940000,114,0.008927439339458942
0.0,0.8412108421325684,0.04752946272492409,729.7,0.0013,71294340.52929688,1197.88436553,3272,290,1.0,950000,115,0.009419649839401245
5.960464477539063e-08,0.837623655796051,0.06590300053358078,737.34,0.0013,61116033.361328125,3986.73514688,3266,293,1.0,960000,117,0.008929025381803513
0.0,0.842061460018158,0.04655744880437851,663.21,0.0013,153858612.6625,27465.115488310006,3270,296,1.0,970000,118,0.008342373184859753
0.0,0.8436058759689331,0.03812284767627716,615.89,0.0013,113400343.559375,30142.099334749997,3273,299,1.0,980000,119,0.008531044237315655
0.0,0.8423011302947998,0.05192063748836517,523.26,0.0013,162997676.35625,37319.31944589,3273,302,1.0,990000,120,0.009057331830263138
0.0,0.8453720211982727,0.050613973289728165,506.52,0.0013,153110921.1234375,37109.46511604,3264,306,1.0,1000000,122,0.009203938767313957
