time/fps,train/n_updates,rollout/ep_len_mean,time/total_timesteps,train/std,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/loss,train/learning_rate,train/approx_kl,train/clip_fraction,train/explained_variance,time/time_elapsed,rollout/ep_rew_mean
287,920,5.87,760000,0.9955453872680664,0.2,-16.973722329735757,-0.0006576180626780114,17939645576.8,5604961280.0,0.0003,0.0003835774,0.0,0.0,2642,-134589.33873139
289,930,5.79,770000,0.9954624772071838,0.2,-16.973100309073924,-0.001160182739204174,13699667520.8,5813190144.0,0.0003,0.0009825181,0.0,5.960464477539063e-08,2655,-132962.03231755
291,950,6.68,780000,0.9951231479644775,0.2,-16.96939998716116,-0.00085870061402602,14485193228.0,6771086848.0,0.0003,0.0006656922,0.0,-1.1920928955078125e-07,2673,-133376.86029626
294,960,6.15,790000,0.9949929118156433,0.2,-16.967651344835758,-0.0015845932717638788,12780261518.4,7253902848.0,0.0003,0.0012958077,2.44140625e-05,0.0,2686,-139344.44467281998
296,970,6.78,800000,0.9948654174804688,0.2,-16.966133300960063,-0.000888344438499189,14294643550.0,8822056960.0,0.0003,0.0006788478,0.0,0.0,2699,-139767.10272614
298,980,6.45,810000,0.9946928024291992,0.2,-16.964282889664172,-0.0008290011151075305,13637054784.4,7259374592.0,0.0003,0.0006778311,0.0,-1.1920928955078125e-07,2712,-132226.63784052
300,1000,6.71,820000,0.9946673512458801,0.2,-16.96344404667616,-0.0007354255023074074,14269743244.8,8868999168.0,0.0003,0.0005285145,0.0,0.0,2730,-135300.29046283002
302,1010,6.47,830000,0.9944821000099182,0.2,-16.961765545606614,-0.0009569652720074373,12932213134.4,7532259328.0,0.0003,0.0008293263,0.0,-1.1920928955078125e-07,2743,-135160.49775353
304,1020,6.1,840000,0.9944018721580505,0.2,-16.960169623792172,-0.0013823782131112238,13706137300.0,6733689856.0,0.0003,0.001169604,3.662109375e-05,-1.1920928955078125e-07,2755,-125096.64550108001
307,1030,5.27,850000,0.9943175911903381,0.2,-16.959191204607485,-0.0007665223040930868,13629940364.0,6778088448.0,0.0003,0.00057702116,0.0,0.0,2768,-121567.26871597
309,1040,6.33,860000,0.9941307902336121,0.2,-16.95757290869951,-0.0010985497029651014,14000080863.6,9739106304.0,0.0003,0.0008541655,0.0,0.0,2781,-120017.60825587997
310,1060,5.94,870000,0.9938266277313232,0.2,-16.953366635739805,-0.0010631549595927936,13187682252.8,5549588480.0,0.0003,0.0008971306,0.0,0.0,2799,-130385.33487241999
312,1070,6.11,880000,0.9937329292297363,0.2,-16.952220867574216,-0.0005245119375103969,12592261272.8,5523228672.0,0.0003,0.0004234803,0.0,0.0,2812,-129943.20802948001
315,1080,6.6,890000,0.993842363357544,0.2,-16.952362842857838,-0.0009197002199471171,13049876554.4,6408307712.0,0.0003,0.000714348,0.0,-1.1920928955078125e-07,2824,-129444.74076493998
317,1090,7.25,900000,0.9936738610267639,0.2,-16.95199170559645,-0.0013017896959354402,12299833799.2,6898483200.0,0.0003,0.0009207924,1.220703125e-05,0.0,2837,-141475.86861806002
318,1110,6.04,910000,0.9933745861053467,0.2,-16.947913105785847,-0.0025146124169623365,13512289018.4,8370889728.0,0.0003,0.0022207526,0.0005126953125,0.0,2855,-124574.62523915
320,1120,5.88,920000,0.9933305382728577,0.2,-16.947035375237466,-0.001654757044843791,14095279830.8,7948746752.0,0.0003,0.0013256241,6.103515625e-05,-1.1920928955078125e-07,2868,-119688.69210328002
322,1130,5.71,930000,0.993318498134613,0.2,-16.94670168310404,-0.0009863840966318094,14929813502.8,7729824768.0,0.0003,0.0007222974,0.0,0.0,2881,-128249.30672434998
324,1140,5.76,940000,0.993078887462616,0.2,-16.945153008401395,-0.001075966678035911,11640396363.2,5613989888.0,0.0003,0.0008738386,0.0,0.0,2894,-115706.43259654002
326,1150,5.98,950000,0.9929918646812439,0.2,-16.943182143568993,-0.0010614410541165853,11170819762.0,3984833024.0,0.0003,0.0009746497,0.0,-1.1920928955078125e-07,2907,-112891.15408195999
328,1170,4.89,960000,0.9925916790962219,0.2,-16.938781696558,-0.0005489237285473791,12375600472.8,4664424448.0,0.0003,0.00042278258,0.0,0.0,2925,-118403.15069279
330,1180,6.72,970000,0.9923723340034485,0.2,-16.93649642318487,-0.0006807489936591082,16298419580.8,8742630400.0,0.0003,0.00050205225,0.0,0.0,2938,-141465.33990991
332,1190,5.71,980000,0.9922938942909241,0.2,-16.934645389020442,-0.0014704358797189344,13663474788.0,5534132736.0,0.0003,0.0011000944,1.220703125e-05,0.0,2951,-128565.21319686998
333,1200,5.38,990000,0.9921950697898865,0.2,-16.933607110381125,-0.0004813638696759881,12767221607.6,5475106816.0,0.0003,0.00033535622,0.0,1.1920928955078125e-07,2964,-120956.09988365001
335,1220,5.98,1000000,0.9922223687171936,0.2,-16.933178006112577,-0.0016569299720231357,14497033093.6,8723376128.0,0.0003,0.001295768,3.662109375e-05,0.0,2982,-117921.18970225
