time/fps,time/time_elapsed,train/n_updates,train/ent_coef,train/ent_coef_loss,rollout/ep_len_mean,time/total_timesteps,train/actor_loss,rollout/ep_rew_mean,train/critic_loss,time/episodes,train/learning_rate,eval/mean_reward,eval/mean_ep_length
248,801,24901,0.13502644002437592,-0.2294832170009613,644.75,199312,544.0640869140625,-5800.721836749999,310.33709716796875,444,0.001,,
248,804,24987,0.1352531611919403,0.9702743291854858,644.44,200000,540.4088745117188,-5785.72628963,356.23291015625,445,0.001,,
,,,,,,200000,,,,,,-9787.460205,832.4
247,828,25639,0.14213266968727112,-0.26185542345046997,643.3,205216,542.3345336914062,-5803.779616929999,356.8699951171875,448,0.001,,
247,831,25763,0.14147837460041046,0.8499749898910522,650.48,206208,547.1703491210938,-5884.8963985400005,308.0267639160156,452,0.001,,
248,835,25899,0.14019612967967987,0.593624472618103,651.49,207296,533.3355712890625,-5787.175125849999,331.07586669921875,456,0.001,,
248,842,26185,0.14379946887493134,-0.8856748938560486,645.9,209584,522.9535522460938,-5625.968488530001,284.95904541015625,460,0.001,,
248,843,26237,0.1420164406299591,-0.5716890692710876,645.9,210000,548.6240234375,-5625.968488530001,1461.4649658203125,460,0.001,,
,,,,,,210000,,,,,,-5398.5818930000005,1000.0
246,863,26632,0.1312887817621231,-0.6778403520584106,644.22,213160,555.7437744140625,-5629.4590805299995,500.4548645019531,464,0.001,,
248,875,27154,0.13502231240272522,0.7495813965797424,654.63,217336,547.0883178710938,-5626.525601929999,346.83154296875,468,0.001,,
248,882,27400,0.14155636727809906,0.3210600018501282,670.13,219304,532.64794921875,-5754.557693819999,353.6627502441406,472,0.001,,
248,884,27487,0.14220355451107025,0.09379211068153381,670.13,220000,538.761474609375,-5754.557693819999,334.27313232421875,472,0.001,,
,,,,,,220000,,,,,,-7771.646550800001,823.4
246,898,27731,0.138283371925354,0.10574638843536377,672.49,221952,500.2948913574219,-5873.3380114500005,328.65130615234375,476,0.001,,
248,910,28244,0.12315697222948074,-0.9116346836090088,667.95,226056,545.79736328125,-5842.838637959999,324.0870361328125,480,0.001,,
248,919,28600,0.12480006366968155,0.052559494972229004,664.11,228904,546.7725219726562,-5652.375991949999,289.6727294921875,484,0.001,,
249,923,28737,0.12915071845054626,1.0080275535583496,679.61,230000,539.80712890625,-5719.08176295,359.10919189453125,486,0.001,,
,,,,,,230000,,,,,,-3309.6665392000004,317.4
248,934,29038,0.1301620602607727,-0.13929829001426697,686.2,232408,528.891357421875,-5711.2034455699995,283.1420593261719,488,0.001,,
249,948,29597,0.12881359457969666,-0.11922973394393921,692.98,236880,495.0314025878906,-5685.20944156,259.802978515625,492,0.001,,
249,950,29679,0.12871959805488586,-0.7522222995758057,714.1,237536,487.9654541015625,-5756.300857300002,452.4720458984375,496,0.001,,
250,957,29987,0.1355828493833542,-0.4090369939804077,722.83,240000,486.38775634765625,-5809.48448657,898.508544921875,497,0.001,,
,,,,,,240000,,,,,,-12719.425404,843.6
248,972,30244,0.1349838376045227,1.3884552717208862,716.91,242056,468.51605224609375,-5754.203520719999,320.24761962890625,500,0.001,,
249,981,30586,0.12825952470302582,-1.4438706636428833,707.58,244792,506.2846984863281,-5727.242588429999,392.11566162109375,504,0.001,,
250,992,31057,0.12631173431873322,0.28655821084976196,727.42,248560,501.218017578125,-5907.215255729999,493.43817138671875,508,0.001,,
