train/entropy_loss,train/learning_rate,time/total_timesteps,time/fps,rollout/ep_len_mean,train/policy_gradient_loss,train/std,train/n_updates,train/approx_kl,train/explained_variance,time/time_elapsed,train/clip_fraction,train/loss,train/clip_range,train/value_loss,rollout/ep_rew_mean
-24.703510154783725,0.0017,830000,854,29.95,-0.0011269793882092926,1.2576264142990112,1010,0.00072972046,0.0,971,2.44140625e-05,31167156224.0,0.2,61000485372.8,-747023.0391068001
-24.739387729763983,0.0017,840000,855,28.14,-0.0012869090360254631,1.260663390159607,1020,0.00070589606,1.7881393432617188e-07,982,3.662109375e-05,29063946240.0,0.2,57948270259.2,-705356.0463448799
-24.777183187007903,0.0017,850000,856,31.24,-0.001868625357747078,1.2639362812042236,1030,0.0015595532,0.0,992,0.00048828125,27738347520.0,0.2,57038414000.0,-776163.3623063002
-24.8150680616498,0.0017,860000,857,26.78,-0.001130587923580606,1.2670916318893433,1040,0.00068182254,-1.1920928955078125e-07,1002,0.0,28522121216.0,0.2,58360968880.0,-662330.2829181
-24.889938156306744,0.0017,870000,855,30.85,-0.0014644526043412042,1.2733027935028076,1060,0.0011717578,0.0,1017,8.544921875e-05,26515156992.0,0.2,58277057555.2,-769481.67762366
-24.92595013976097,0.0017,880000,856,30.37,-0.0015492560512939235,1.2765042781829834,1070,0.0013390533,-2.384185791015625e-07,1027,0.00028076171875,30081656832.0,0.2,57206579440.0,-754569.42781709
-24.96425711363554,0.0017,890000,857,27.72,-0.0013688545133845765,1.2798329591751099,1080,0.00097641617,0.0,1038,9.765625e-05,24641030144.0,0.2,56614602582.4,-699977.03264387
-25.001279087364672,0.0017,900000,858,34.41,-0.001060997961758403,1.2828501462936401,1090,0.0006911274,-2.384185791015625e-07,1048,3.662109375e-05,30097096704.0,0.2,58013204102.4,-848795.3399565701
-25.0806221306324,0.0017,910000,855,27.52,-0.0009280503094487358,1.2897495031356812,1110,0.0005800836,0.0,1064,0.0,30150834176.0,0.2,56349154601.6,-694119.83766168
-25.121088187396527,0.0017,920000,856,31.7,-0.0015083200360095361,1.2934709787368774,1120,0.001069882,0.0,1074,8.544921875e-05,25969414144.0,0.2,53666004537.6,-785169.5737343899
-25.15884348899126,0.0017,930000,856,27.49,-0.0011988750788077597,1.2962485551834106,1130,0.00086672785,1.7881393432617188e-07,1085,3.662109375e-05,29983481856.0,0.2,56636409833.6,-688759.21802996
-25.19355998635292,0.0017,940000,857,31.57,-0.0010128474736120553,1.2994747161865234,1140,0.000676446,0.0,1095,2.44140625e-05,27857063936.0,0.2,54171465212.8,-783627.11847368
-25.23159967660904,0.0017,950000,859,26.97,-0.0013411448828264839,1.3028582334518433,1150,0.0007898621,-1.1920928955078125e-07,1105,1.220703125e-05,26056189952.0,0.2,54860527740.8,-672773.0517920699
-25.308322332799435,0.0017,960000,857,22.79,-0.001965417447354412,1.309582233428955,1170,0.0015881093,-1.1920928955078125e-07,1119,0.00028076171875,28791844864.0,0.2,56862624841.6,-581235.18265278
-25.348096169531345,0.0017,970000,858,19.03,-0.0011028525514120702,1.313076376914978,1180,0.0007137689,1.1920928955078125e-07,1130,7.32421875e-05,26244401152.0,0.2,55467234598.4,-496509.10803551006
-25.387264202535153,0.0017,980000,858,23.5,-0.0021592807419438032,1.3164336681365967,1190,0.0017181822,1.7881393432617188e-07,1140,0.000439453125,29326727168.0,0.2,52399278096.0,-595947.8823382701
-25.42463467568159,0.0017,990000,859,27.63,-0.0014846409700112416,1.319641351699829,1200,0.0016755636,1.7881393432617188e-07,1151,0.0010009765625,29708517376.0,0.2,55977194640.0,-693362.1489577
-25.503241570293902,0.0017,1000000,857,27.89,-0.0012362619318992073,1.3264192342758179,1220,0.0011192374,0.0,1166,0.0003173828125,27696312320.0,0.2,54260280476.8,-704940.06828547
