time/fps,time/total_timesteps,train/explained_variance,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/value_loss,rollout/ep_rew_mean,train/std,train/loss,train/learning_rate,time/time_elapsed,train/clip_range,rollout/ep_len_mean,train/n_updates,train/clip_fraction
816,760000,0.0,-0.0004611518654201063,-21.28135143518448,8.24223e-05,43025484172.8,-1278254.39978469,0.9997981786727905,21208885248.0,0.0003,930,0.2,91.47,920,0.0
817,770000,0.0,-0.00030715983502886955,-21.28098043501377,4.2291656e-05,40610470883.2,-1292551.44411083,0.9997974038124084,18907475968.0,0.0003,941,0.2,93.35,930,0.0
814,780000,0.0,-0.00022619123592448886,-21.281269057095052,2.2654109e-05,41884633545.6,-1462123.3542711898,0.9997993111610413,19914532864.0,0.0003,957,0.2,105.3,950,0.0
815,790000,0.0,-0.00044073568260500907,-21.28073998838663,8.558876e-05,42832217305.6,-1372208.0180526304,0.9997609257698059,21480888320.0,0.0003,969,0.2,97.31,960,0.0
815,800000,1.1920928955078125e-07,-0.0007024285338047776,-21.280558563768864,0.00014363916,43416373606.4,-1181349.61566284,0.9997737407684326,23401668608.0,0.0003,980,0.2,83.76,970,0.0
816,810000,-1.1920928955078125e-07,-0.0005478499193486641,-21.280830398201942,0.00010027322,40703521699.2,-1106794.0036078498,0.999797523021698,20644657152.0,0.0003,991,0.2,78.22,980,0.0
813,820000,5.960464477539063e-08,-0.0004058138722939475,-21.279248286783695,7.2102994e-05,42190944345.6,-1244152.35147334,0.9996694326400757,23667382272.0,0.0003,1007,0.2,88.51,1000,0.0
814,830000,0.0,-0.0003818343349848874,-21.27939097583294,6.520398e-05,40302507683.2,-1151861.0165888602,0.9997140169143677,19801993216.0,0.0003,1019,0.2,82.1,1010,0.0
815,840000,0.0,-0.000324526510121359,-21.279889610409736,6.1002233e-05,42011980672.0,-1454831.30341383,0.9997346997261047,21544464384.0,0.0003,1030,0.2,104.79,1020,0.0
815,850000,5.960464477539063e-08,-0.0005418023554739193,-21.27998091429472,0.00010752022,42174556572.8,-1115583.6009989001,0.9997195601463318,19963420672.0,0.0003,1041,0.2,78.56,1030,0.0
816,860000,-1.1920928955078125e-07,-0.0003858205878714216,-21.27939642369747,7.080303e-05,41209523369.6,-1269448.0498856602,0.9996646642684937,20307830784.0,0.0003,1053,0.2,91.65,1040,0.0
813,870000,0.0,-0.000391859531555383,-21.27821008861065,5.9819577e-05,42190875417.6,-1342006.83695449,0.9996165633201599,20361543680.0,0.0003,1069,0.2,95.68,1060,0.0
814,880000,-1.1920928955078125e-07,-0.00044774690195481526,-21.27848663032055,6.845612e-05,43072756185.6,-1465617.0385256198,0.9996450543403625,19514220544.0,0.0003,1080,0.2,105.26,1070,0.0
815,890000,5.960464477539063e-08,-0.0005513665711987415,-21.278444689512252,0.00011892354,41791921270.4,-1442321.45490094,0.9996086955070496,22970411008.0,0.0003,1091,0.2,104.0,1080,0.0
815,900000,5.960464477539063e-08,-0.000393663988870685,-21.27806064039469,5.7263678e-05,43778210883.2,-1388428.9866396603,0.9995953440666199,23629899776.0,0.0003,1103,0.2,99.0,1090,0.0
813,910000,5.960464477539063e-08,-0.0003732437086000573,-21.277926087379456,6.205052e-05,41651488086.4,-1366861.9042827804,0.9996013045310974,22378272768.0,0.0003,1119,0.2,99.02,1110,0.0
813,920000,0.0,-0.0008140819194522919,-21.278175529837608,0.00018879745,40758102550.4,-1438698.0125717698,0.9996157884597778,21041920000.0,0.0003,1130,0.2,104.96,1120,0.0
814,930000,0.0,-0.0004651908310734143,-21.277622316777705,8.773923e-05,41089336396.8,-1290397.6765405098,0.9995273351669312,19779932160.0,0.0003,1142,0.2,92.16,1130,0.0
814,940000,5.960464477539063e-08,-0.0003489895884285943,-21.276255251467227,6.138991e-05,43276587865.6,-1354548.53778269,0.9994376301765442,21209083904.0,0.0003,1153,0.2,97.01,1140,0.0
815,950000,0.0,-0.0003844719808512309,-21.27568192332983,6.201054e-05,40711773254.4,-1207434.62462419,0.9994548559188843,19533348864.0,0.0003,1165,0.2,87.2,1150,0.0
812,960000,0.0,-0.0006067873834581406,-21.274488428235053,0.0001234507,41240369523.2,-1202820.6306846899,0.9993273615837097,19285299200.0,0.0003,1181,0.2,86.23,1170,0.0
813,970000,0.0,-0.0003721412513186806,-21.27418534606695,6.296649e-05,41796652627.2,-1248360.2758410699,0.9993640184402466,22060380160.0,0.0003,1192,0.2,90.24,1180,0.0
814,980000,5.960464477539063e-08,-0.000557838354325213,-21.274792157113552,0.00011234568,39738816876.8,-1324486.5919640902,0.9994084239006042,19497097216.0,0.0003,1203,0.2,95.56,1190,0.0
814,990000,-1.1920928955078125e-07,-0.00041203198343282567,-21.275196450948716,7.294452e-05,41437666854.4,-1054262.20054504,0.9994180798530579,18778552320.0,0.0003,1215,0.2,75.71,1200,0.0
812,1000000,0.0,-0.00047623599539292627,-21.275596949458123,8.7159664e-05,41404332721.6,-1197118.02548274,0.9994180202484131,21001920512.0,0.0003,1231,0.2,85.44,1220,0.0
