train/learning_rate,train/n_updates,time/time_elapsed,rollout/ep_len_mean,train/policy_gradient_loss,train/explained_variance,rollout/ep_rew_mean,time/total_timesteps,train/value_loss,train/loss,train/entropy_loss,train/approx_kl,train/std,train/clip_range,time/fps,train/clip_fraction
0.0017,900,823,32.37,-0.002463596790585143,1.1920928955078125e-07,-448938.4033947501,740000,16231325923.2,8906907648.0,-21.022270591557024,0.0022908761,1.3990745544433594,0.2,898,0.00399169921875
0.0017,910,833,31.6,-0.0019166806694556726,-1.1920928955078125e-07,-436175.31593552,750000,16910460518.4,8017982464.0,-21.073240974545477,0.0016401764,1.4045511484146118,0.2,899,0.00118408203125
0.0017,920,843,34.82,-0.0017960979824238165,0.0,-470241.6329424,760000,16424644154.4,9441996800.0,-21.12654106467962,0.0011992643,1.4116572141647339,0.2,900,0.00020751953125
0.0017,930,853,28.98,-0.0026757651387924854,0.0,-412295.04965691996,770000,15829364741.6,8156805632.0,-21.18470634818077,0.0024918332,1.418183445930481,0.2,901,0.003515625
0.0017,950,868,33.96,-0.0026388766345917247,0.0,-467788.7815385299,780000,16496637100.8,8465567232.0,-21.27747584581375,0.0024057864,1.4284591674804688,0.2,897,0.0025390625
0.0017,960,878,32.86,-0.0022491810915198584,0.0,-453242.21478240006,790000,16436104380.0,8464818688.0,-21.32439136505127,0.0020737236,1.4347256422042847,0.2,898,0.001416015625
0.0017,970,889,30.18,-0.0024736028151892244,0.0,-418892.9921657999,800000,15989820484.8,8044188160.0,-21.378724975883962,0.002373977,1.441505789756775,0.2,899,0.0031005859375
0.0017,980,899,33.56,-0.0028972098256417667,1.7881393432617188e-07,-458738.44642295013,810000,15971344758.4,7813687808.0,-21.432113444805147,0.0027110083,1.4476503133773804,0.2,900,0.00413818359375
0.0017,1000,914,28.73,-0.002780854462798743,0.0,-402682.76194213994,820000,15785840120.8,8441981440.0,-21.528114888072015,0.002680325,1.458745002746582,0.2,896,0.00621337890625
0.0017,1010,924,32.34,-0.0017776379851056844,0.0,-446183.4848177901,830000,15384871344.8,8073089536.0,-21.576571632921695,0.0015748602,1.4655781984329224,0.2,897,0.00133056640625
0.0017,1020,934,36.5,-0.0023675533275309135,-2.384185791015625e-07,-498528.9481635,840000,15801918104.0,8067075584.0,-21.631539031863213,0.0023694718,1.472180962562561,0.2,898,0.00223388671875
0.0017,1030,944,28.05,-0.002069374601160234,0.0,-393941.54670862004,850000,16793593261.6,8780675072.0,-21.680500438809396,0.0021041166,1.4777077436447144,0.2,899,0.00140380859375
0.0017,1040,954,30.91,-0.0036521998043099304,1.1920928955078125e-07,-427228.5752848,860000,15588077458.4,8050604544.0,-21.725464241206645,0.0040155407,1.483202576637268,0.2,900,0.00872802734375
